epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.353658527135849,"""[0.15938865, 0.0, 0.4242424, 0.45580405, 0.0, 0.3042877]""",1.549307107925415,0.4447115361690521,"""[0.023809522, 0.0, 0.47499996, 0.58119655, 0.0, 0.6060606]""",1.364626169204712
1,0.46308502554893494,"""[0.33435896, 0.010752688, 0.48672566, 0.5219024, 0.039800994, 0.6052142]""",1.3410673141479492,0.5384615659713745,"""[0.49999994, 0.0, 0.5190563, 0.6137787, 0.0, 0.7521367]""",1.2165722846984863
2,0.5619643926620483,"""[0.51805055, 0.03940887, 0.54731184, 0.64378697, 0.11707318, 0.6966068]""",1.1237688064575195,0.6009615659713745,"""[0.5123967, 0.0, 0.6351606, 0.6641366, 0.2702703, 0.7456141]""",1.0372653007507324
3,0.5955833792686462,"""[0.53187615, 0.021857923, 0.57961434, 0.6888388, 0.114832535, 0.73609704]""",1.0021134614944458,0.651442289352417,"""[0.57664233, 0.0, 0.66406244, 0.7280163, 0.08571429, 0.8715954]""",0.8760701417922974
4,0.5962426066398621,"""[0.5321586, 0.0, 0.5885558, 0.68961495, 0.14159292, 0.73846155]""",0.9721859693527222,0.6754807829856873,"""[0.59999996, 0.0, 0.7083334, 0.7360308, 0.029850746, 0.8780488]""",0.7959860563278198
5,0.6354647278785706,"""[0.5843478, 0.0, 0.6281548, 0.72438157, 0.2930403, 0.7693877]""",0.847967803478241,0.6838942170143127,"""[0.63973063, 0.029850747, 0.71179885, 0.772074, 0.17142858, 0.84070796]""",0.7348924875259399
6,0.6736980676651001,"""[0.61674005, 0.043243244, 0.67161626, 0.75392044, 0.38040346, 0.8286291]""",0.756495475769043,0.6959134340286255,"""[0.6737588, 0.08571429, 0.737705, 0.75107294, 0.23376626, 0.83274025]""",0.7198963165283203
7,0.6878708004951477,"""[0.65050167, 0.16450217, 0.6778846, 0.76744187, 0.46808508, 0.8106509]""",0.7166211605072021,0.676682710647583,"""[0.59872615, 0.16666667, 0.68498164, 0.76146793, 0.4470588, 0.86255926]""",0.7123879194259644
8,0.706657886505127,"""[0.66156465, 0.26086956, 0.6964818, 0.77991325, 0.49856737, 0.8439999]""",0.6746992468833923,0.7199519276618958,"""[0.5660377, 0.36363637, 0.7376147, 0.78504676, 0.5223881, 0.90298504]""",0.6165732741355896
9,0.7096242308616638,"""[0.66605675, 0.35220128, 0.70736086, 0.77972233, 0.43712574, 0.8502513]""",0.6617264747619629,0.7091346383094788,"""[0.6807018, 0.21333332, 0.7239819, 0.7626459, 0.3555556, 0.875969]""",0.6596189737319946
10,0.7297297120094299,"""[0.6618445, 0.37237236, 0.7120743, 0.8122699, 0.53038675, 0.886497]""",0.6342275738716125,0.7355769276618958,"""[0.7232877, 0.14705883, 0.71964675, 0.8046512, 0.5102041, 0.912]""",0.5900193452835083
11,0.7504944205284119,"""[0.70766634, 0.39130434, 0.7566895, 0.8144459, 0.5352941, 0.87673956]""",0.588068962097168,0.7475961446762085,"""[0.6328125, 0.542056, 0.7645875, 0.8108108, 0.5263158, 0.8947368]""",0.5864919424057007
12,0.7669742703437805,"""[0.74596435, 0.5161291, 0.755414, 0.81560725, 0.5797102, 0.88866997]""",0.5346736311912537,0.7596153616905212,"""[0.7234043, 0.61068696, 0.7375886, 0.82718444, 0.45652175, 0.9049773]""",0.5586543083190918
13,0.772247850894928,"""[0.7471764, 0.50295854, 0.7754847, 0.82273006, 0.5521472, 0.87342995]""",0.5285342931747437,0.7644230723381042,"""[0.74193555, 0.4893617, 0.76954734, 0.7953488, 0.5555556, 0.9055118]""",0.5359822511672974
14,0.7966381311416626,"""[0.77988464, 0.5344353, 0.7880752, 0.8527228, 0.62711865, 0.89683354]""",0.4713398814201355,0.770432710647583,"""[0.74461544, 0.4848485, 0.7552743, 0.8493151, 0.626087, 0.8920188]""",0.5889908075332642
15,0.8190507292747498,"""[0.7963875, 0.5628416, 0.8133779, 0.8670378, 0.679558, 0.92079204]""",0.4407186210155487,0.7740384340286255,"""[0.7338129, 0.5, 0.7663934, 0.8425926, 0.6168225, 0.9003984]""",0.5239463448524475
16,0.8088332414627075,"""[0.7781512, 0.5822785, 0.7976112, 0.86628276, 0.6480447, 0.9137441]""",0.4406357407569885,0.8245192170143127,"""[0.80813956, 0.7058823, 0.82483375, 0.853012, 0.59574467, 0.9302326]""",0.45404598116874695
17,0.8210283517837524,"""[0.8022599, 0.6722222, 0.810143, 0.8650032, 0.65582657, 0.9069069]""",0.421172559261322,0.8004807829856873,"""[0.75247526, 0.5979381, 0.7826087, 0.85587585, 0.73015875, 0.90400004]""",0.4618687927722931
18,0.8338826894760132,"""[0.8143909, 0.649874, 0.8248513, 0.8813776, 0.6737968, 0.9305137]""",0.38363194465637207,0.8100961446762085,"""[0.760274, 0.65546227, 0.8008213, 0.8599034, 0.6521739, 0.93076926]""",0.490904301404953
19,0.849044144153595,"""[0.8353141, 0.70437014, 0.84510696, 0.8865069, 0.7176781, 0.918429]""",0.35877329111099243,0.823317289352417,"""[0.7902098, 0.74418604, 0.8362832, 0.8377724, 0.66071427, 0.9157509]""",0.45525994896888733
20,0.8497033715248108,"""[0.8444444, 0.7240506, 0.84999996, 0.87979543, 0.68407315, 0.9223007]""",0.3582805395126343,0.8100961446762085,"""[0.77631575, 0.69090915, 0.78504676, 0.85473686, 0.58585864, 0.95161283]""",0.4696720540523529
21,0.8579432964324951,"""[0.8541157, 0.6923077, 0.8599221, 0.8855657, 0.6923077, 0.9414101]""",0.33662423491477966,0.8149038553237915,"""[0.8287293, 0.6041666, 0.8240964, 0.82758623, 0.64000005, 0.90624994]""",0.5264123678207397
22,0.8750823736190796,"""[0.8479338, 0.72959185, 0.8767304, 0.91250813, 0.77540106, 0.93992245]""",0.3058026432991028,0.8197115659713745,"""[0.7913669, 0.6821705, 0.8, 0.8730513, 0.6744186, 0.91497976]""",0.5015743970870972
23,0.8800263404846191,"""[0.8587755, 0.774026, 0.8623237, 0.91555554, 0.824147, 0.9378085]""",0.2963797450065613,0.8473557829856873,"""[0.81911266, 0.72727275, 0.82875264, 0.88683605, 0.7058823, 0.9469696]""",0.38931000232696533
24,0.8876070976257324,"""[0.872093, 0.74634147, 0.8835979, 0.9261829, 0.7762803, 0.95131844]""",0.2776404619216919,0.8245192170143127,"""[0.76000005, 0.6846847, 0.8060836, 0.8648649, 0.8, 0.9389313]""",0.46423932909965515
25,0.8922215104103088,"""[0.8823529, 0.7559055, 0.88026315, 0.9267049, 0.8203754, 0.947053]""",0.26973283290863037,0.854567289352417,"""[0.8303248, 0.7272727, 0.84463894, 0.8963964, 0.7021277, 0.9558233]""",0.4063267111778259
26,0.9063941836357117,"""[0.90338564, 0.79274607, 0.90084255, 0.9342876, 0.83804625, 0.9461077]""",0.24850061535835266,0.8629807829856873,"""[0.86053413, 0.77611935, 0.8487585, 0.8903804, 0.79207915, 0.9306931]""",0.37821564078330994
27,0.8965062499046326,"""[0.8765133, 0.79591835, 0.89641434, 0.9267048, 0.8042895, 0.94843274]""",0.2566186785697937,0.8569711446762085,"""[0.8344371, 0.7692308, 0.8357488, 0.8827292, 0.7115385, 0.9594096]""",0.41337043046951294
28,0.9050757884979248,"""[0.89559543, 0.7890819, 0.9055593, 0.9387239, 0.8189415, 0.9402391]""",0.22648243606090546,0.8533653616905212,"""[0.85806453, 0.5555556, 0.83511776, 0.90120476, 0.7857142, 0.93333334]""",0.467044472694397
29,0.9093605875968933,"""[0.89503664, 0.7926509, 0.89768976, 0.9432258, 0.85929644, 0.9567839]""",0.2310098558664322,0.879807710647583,"""[0.8780488, 0.79646015, 0.8805031, 0.9027778, 0.7731093, 0.93220335]""",0.3960612714290619
30,0.9100197553634644,"""[0.9026249, 0.81975305, 0.91016394, 0.9343531, 0.8093994, 0.9552239]""",0.2404041439294815,0.8882211446762085,"""[0.873494, 0.8333333, 0.88192767, 0.9127517, 0.7878788, 0.940239]""",0.33650022745132446
31,0.90177983045578,"""[0.8951747, 0.79389316, 0.90058476, 0.9308339, 0.8062015, 0.94600004]""",0.25323641300201416,0.8737980723381042,"""[0.8507936, 0.7826087, 0.8716814, 0.90997565, 0.8148148, 0.9125475]""",0.35757434368133545
32,0.922214925289154,"""[0.915873, 0.81481475, 0.9169435, 0.9518305, 0.8594594, 0.9559119]""",0.20750021934509277,0.8834134340286255,"""[0.8819876, 0.7692307, 0.86818177, 0.9069212, 0.8103448, 0.96]""",0.39318418502807617
33,0.9337508082389832,"""[0.9263158, 0.8586118, 0.9367589, 0.9514563, 0.871134, 0.96475327]""",0.17156995832920074,0.8725961446762085,"""[0.85975605, 0.76521736, 0.84596574, 0.91796005, 0.73999995, 0.9501916]""",0.37983518838882446
34,0.9225444793701172,"""[0.9158415, 0.8380463, 0.92338175, 0.9391635, 0.8548387, 0.9611167]""",0.18755856156349182,0.8665865659713745,"""[0.85310733, 0.63917524, 0.84412473, 0.90951276, 0.82758623, 0.95582324]""",0.3820273280143738
35,0.9271588921546936,"""[0.9140496, 0.8226601, 0.9282482, 0.94932646, 0.8806366, 0.9680082]""",0.1825292557477951,0.9086538553237915,"""[0.8945687, 0.81967217, 0.8974943, 0.9395349, 0.859375, 0.9655172]""",0.28220388293266296
36,0.923203706741333,"""[0.9153094, 0.8306878, 0.92348284, 0.9438059, 0.8488063, 0.9631106]""",0.18938109278678894,0.9002403616905212,"""[0.8843931, 0.8034188, 0.8883721, 0.937063, 0.84033614, 0.9596412]""",0.3012024760246277
37,0.9337508082389832,"""[0.9208993, 0.8542199, 0.9331619, 0.9548969, 0.87603307, 0.9691543]""",0.17079785466194153,0.9182692170143127,"""[0.91358024, 0.8190476, 0.91294116, 0.9348315, 0.8869566, 0.96]""",0.2716226279735565
38,0.9321028590202332,"""[0.9295774, 0.8578681, 0.93963253, 0.9472999, 0.85063297, 0.9614243]""",0.16516245901584625,0.875,"""[0.8804665, 0.6422018, 0.8755556, 0.9043063, 0.7912088, 0.9486167]""",0.3790346682071686
39,0.9301252365112305,"""[0.92655367, 0.82926834, 0.9335963, 0.95329493, 0.8733154, 0.9512438]""",0.17227977514266968,0.926682710647583,"""[0.9153605, 0.8099174, 0.91144705, 0.95739347, 0.9243697, 0.97942394]""",0.2291543185710907
